,T,Training Error,Training Error %,Testing Error,Testing Error %
161,161,726,14.52,772,15.440000000000001
162,162,4244,84.88,4236,84.72
163,163,4319,86.38,4308,86.16
164,164,596,11.92,624,12.479999999999999
165,165,4319,86.38,4308,86.16
166,166,1592,31.840000000000003,1616,32.32
167,167,1384,27.68,1373,27.46
168,168,4319,86.38,4308,86.16
169,169,596,11.92,624,12.479999999999999
170,170,3592,71.84,3620,72.39999999999999
171,171,1572,31.44,1555,31.1
172,172,4374,87.48,4353,87.06
173,173,4319,86.38,4308,86.16
174,174,726,14.52,772,15.440000000000001
175,175,4374,87.48,4353,87.06
176,176,2320,46.400000000000006,2458,49.16
177,177,4319,86.38,4308,86.16
178,178,2071,41.42,2038,40.760000000000005
179,179,596,11.92,624,12.479999999999999
180,180,3686,73.72,3692,73.83999999999999
181,181,839,16.78,858,17.16
182,182,3955,79.10000000000001,3965,79.3
183,183,1047,20.94,1052,21.04
184,184,4374,87.48,4353,87.06
185,185,3875,77.5,3859,77.18
186,186,766,15.32,797,15.939999999999998
187,187,4319,86.38,4308,86.16
188,188,1099,21.98,1110,22.2
189,189,4251,85.02,4232,84.64
190,190,596,11.92,624,12.479999999999999
191,191,2595,51.9,2614,52.28
192,192,2010,40.2,2018,40.36
193,193,3847,76.94,3810,76.2
194,194,726,14.52,772,15.440000000000001
195,195,4374,87.48,4353,87.06
196,196,3099,61.980000000000004,3072,61.44
197,197,1084,21.68,1078,21.560000000000002
198,198,4319,86.38,4308,86.16
199,199,1554,31.080000000000002,1558,31.16
200,200,3004,60.08,3033,60.660000000000004
201,201,826,16.520000000000003,830,16.6
202,202,3233,64.66,3208,64.16
203,203,2992,59.84,3040,60.8
204,204,2113,42.26,2056,41.120000000000005
205,205,2857,57.14,2921,58.42
206,206,2113,42.26,2056,41.120000000000005
207,207,1999,39.98,2076,41.52
208,208,3099,61.980000000000004,3038,60.760000000000005
209,209,4319,86.38,4308,86.16
210,210,596,11.92,624,12.479999999999999
211,211,3613,72.26,3613,72.26
212,212,2086,41.72,2123,42.46
213,213,920,18.4,956,19.12
214,214,4374,87.48,4353,87.06
215,215,2401,48.02,2452,49.04
216,216,3719,74.38,3743,74.86
217,217,726,14.52,772,15.440000000000001
218,218,4374,87.48,4353,87.06
219,219,3875,77.5,3859,77.18
220,220,596,11.92,624,12.479999999999999
221,221,4319,86.38,4308,86.16
222,222,1251,25.019999999999996,1234,24.68
223,223,2490,49.8,2520,50.4
224,224,1555,31.1,1589,31.78
225,225,2408,48.16,2413,48.26
226,226,2691,53.82,2694,53.879999999999995
227,227,2279,45.58,2283,45.660000000000004
228,228,2959,59.18,2990,59.8
229,229,2011,40.22,1987,39.739999999999995
230,230,4319,86.38,4308,86.16
231,231,596,11.92,624,12.479999999999999
232,232,3458,69.16,3467,69.34
233,233,2470,49.4,2444,48.88
234,234,2500,50.0,2533,50.660000000000004
235,235,2470,49.4,2444,48.88
236,236,2500,50.0,2533,50.660000000000004
237,237,2470,49.4,2444,48.88
238,238,2628,52.559999999999995,2670,53.400000000000006
239,239,4319,86.38,4308,86.16
240,240,596,11.92,624,12.479999999999999
241,241,3379,67.58,3354,67.08
242,242,2379,47.58,2372,47.44
243,243,2591,51.82,2605,52.1
244,244,2379,47.58,2372,47.44
245,245,920,18.4,956,19.12
246,246,2754,55.08,2749,54.98
247,247,4325,86.5,4312,86.24000000000001
248,248,1939,38.78,1879,37.580000000000005
249,249,4319,86.38,4308,86.16
250,250,726,14.52,772,15.440000000000001
251,251,2904,58.08,2964,59.28
252,252,4251,85.02,4232,84.64
253,253,3099,61.980000000000004,3072,61.44
254,254,590,11.799999999999999,626,12.520000000000001
255,255,3607,72.14,3580,71.6
256,256,2533,50.660000000000004,2583,51.66
257,257,3686,73.72,3692,73.83999999999999
258,258,596,11.92,624,12.479999999999999
259,259,2863,57.26,2861,57.220000000000006
260,260,2454,49.08,2514,50.28
261,261,3068,61.36000000000001,3044,60.88
262,262,2557,51.13999999999999,2543,50.86000000000001
263,263,4319,86.38,4308,86.16
264,264,596,11.92,624,12.479999999999999
265,265,3719,74.38,3743,74.86
266,266,2209,44.18,2168,43.36
267,267,2628,52.559999999999995,2670,53.400000000000006
268,268,2342,46.839999999999996,2307,46.14
269,269,2628,52.559999999999995,2670,53.400000000000006
270,270,2342,46.839999999999996,2307,46.14
271,271,4319,86.38,4308,86.16
272,272,726,14.52,772,15.440000000000001
273,273,4374,87.48,4353,87.06
274,274,1454,29.080000000000002,1513,30.259999999999998
275,275,2139,42.78,2142,42.84
276,276,2831,56.620000000000005,2835,56.699999999999996
277,277,2139,42.78,2142,42.84
278,278,2831,56.620000000000005,2835,56.699999999999996
279,279,4319,86.38,4308,86.16
280,280,596,11.92,624,12.479999999999999
281,281,3467,69.34,3423,68.46
282,282,3875,77.5,3859,77.18
283,283,2071,41.42,2038,40.760000000000005
284,284,596,11.92,624,12.479999999999999
