,T,Training Error,Training Error %,Testing Error,Testing Error %
151,151,514,10.280000000000001,536,10.72
152,152,513,10.26,536,10.72
153,153,513,10.26,536,10.72
154,154,513,10.26,536,10.72
155,155,513,10.26,536,10.72
156,156,513,10.26,536,10.72
157,157,513,10.26,536,10.72
158,158,513,10.26,536,10.72
159,159,513,10.26,536,10.72
160,160,513,10.26,536,10.72
161,161,514,10.280000000000001,536,10.72
162,162,513,10.26,536,10.72
163,163,513,10.26,536,10.72
164,164,513,10.26,536,10.72
165,165,513,10.26,536,10.72
166,166,513,10.26,536,10.72
167,167,513,10.26,536,10.72
168,168,513,10.26,536,10.72
169,169,513,10.26,536,10.72
170,170,513,10.26,536,10.72
171,171,513,10.26,536,10.72
172,172,513,10.26,536,10.72
173,173,513,10.26,536,10.72
174,174,513,10.26,536,10.72
175,175,513,10.26,536,10.72
176,176,514,10.280000000000001,536,10.72
177,177,514,10.280000000000001,536,10.72
178,178,513,10.26,536,10.72
179,179,514,10.280000000000001,536,10.72
180,180,513,10.26,536,10.72
181,181,514,10.280000000000001,536,10.72
182,182,514,10.280000000000001,536,10.72
183,183,514,10.280000000000001,536,10.72
184,184,513,10.26,536,10.72
185,185,514,10.280000000000001,536,10.72
186,186,514,10.280000000000001,537,10.74
187,187,514,10.280000000000001,536,10.72
188,188,514,10.280000000000001,537,10.74
189,189,514,10.280000000000001,536,10.72
190,190,514,10.280000000000001,537,10.74
191,191,514,10.280000000000001,537,10.74
192,192,514,10.280000000000001,537,10.74
193,193,514,10.280000000000001,537,10.74
194,194,514,10.280000000000001,537,10.74
195,195,514,10.280000000000001,537,10.74
196,196,514,10.280000000000001,536,10.72
197,197,513,10.26,537,10.74
198,198,513,10.26,536,10.72
199,199,513,10.26,537,10.74
200,200,513,10.26,537,10.74
201,201,513,10.26,537,10.74
202,202,513,10.26,537,10.74
203,203,513,10.26,537,10.74
204,204,513,10.26,537,10.74
205,205,513,10.26,537,10.74
206,206,513,10.26,537,10.74
207,207,513,10.26,537,10.74
208,208,513,10.26,537,10.74
209,209,513,10.26,537,10.74
210,210,513,10.26,537,10.74
211,211,513,10.26,537,10.74
212,212,513,10.26,537,10.74
213,213,513,10.26,536,10.72
214,214,513,10.26,536,10.72
215,215,514,10.280000000000001,537,10.74
216,216,514,10.280000000000001,536,10.72
217,217,514,10.280000000000001,537,10.74
218,218,514,10.280000000000001,536,10.72
219,219,513,10.26,537,10.74
220,220,513,10.26,537,10.74
221,221,513,10.26,537,10.74
222,222,513,10.26,537,10.74
223,223,514,10.280000000000001,537,10.74
224,224,513,10.26,537,10.74
225,225,514,10.280000000000001,537,10.74
226,226,513,10.26,537,10.74
227,227,514,10.280000000000001,537,10.74
228,228,513,10.26,537,10.74
229,229,514,10.280000000000001,537,10.74
230,230,513,10.26,537,10.74
231,231,514,10.280000000000001,537,10.74
232,232,514,10.280000000000001,537,10.74
233,233,514,10.280000000000001,537,10.74
234,234,514,10.280000000000001,537,10.74
235,235,514,10.280000000000001,537,10.74
236,236,514,10.280000000000001,537,10.74
237,237,514,10.280000000000001,537,10.74
238,238,514,10.280000000000001,537,10.74
239,239,513,10.26,537,10.74
240,240,514,10.280000000000001,537,10.74
241,241,513,10.26,537,10.74
242,242,514,10.280000000000001,537,10.74
243,243,513,10.26,537,10.74
244,244,514,10.280000000000001,537,10.74
245,245,514,10.280000000000001,537,10.74
246,246,514,10.280000000000001,537,10.74
247,247,514,10.280000000000001,536,10.72
248,248,514,10.280000000000001,537,10.74
249,249,514,10.280000000000001,537,10.74
250,250,514,10.280000000000001,537,10.74
251,251,514,10.280000000000001,537,10.74
252,252,514,10.280000000000001,537,10.74
253,253,514,10.280000000000001,537,10.74
254,254,514,10.280000000000001,536,10.72
