,T,Training Error,Training Error %,Testing Error,Testing Error %
0,0,423,8.459999999999999,423,8.459999999999999
0,1,705,14.099999999999998,705,14.099999999999998
0,2,310,6.2,310,6.2
0,3,438,8.76,438,8.76
0,4,253,5.06,253,5.06
0,5,350,7.000000000000001,350,7.000000000000001
0,6,226,4.52,226,4.52
0,7,300,6.0,300,6.0
0,8,209,4.18,209,4.18
0,9,278,5.56,278,5.56
