,Learning Rates,Avg Costs
0,1.0,1.42835095e+305
1,0.5,1.93019346e+304
2,0.25,17279.06752449
3,0.125,28.45654377
4,0.0625,19.60780915
5,0.03125,17.10284857
6,0.015625,16.21408394
7,0.0078125,16.16083368
