,T,Training Error,Training Error %,Testing Error,Testing Error %
171,171,279,5.58,572,11.44
172,172,274,5.48,570,11.4
173,173,280,5.6000000000000005,573,11.459999999999999
174,174,273,5.46,568,11.360000000000001
175,175,274,5.48,572,11.44
176,176,272,5.4399999999999995,569,11.379999999999999
177,177,275,5.5,571,11.42
178,178,271,5.42,567,11.34
179,179,276,5.52,571,11.42
180,180,274,5.48,569,11.379999999999999
181,181,278,5.56,572,11.44
182,182,272,5.4399999999999995,570,11.4
183,183,276,5.52,572,11.44
184,184,274,5.48,568,11.360000000000001
185,185,275,5.5,569,11.379999999999999
186,186,273,5.46,568,11.360000000000001
187,187,275,5.5,570,11.4
188,188,274,5.48,568,11.360000000000001
189,189,275,5.5,570,11.4
190,190,274,5.48,569,11.379999999999999
191,191,277,5.54,572,11.44
192,192,272,5.4399999999999995,566,11.32
193,193,276,5.52,571,11.42
194,194,276,5.52,569,11.379999999999999
195,195,279,5.58,570,11.4
196,196,274,5.48,565,11.3
197,197,275,5.5,571,11.42
198,198,275,5.5,565,11.3
199,199,277,5.54,568,11.360000000000001
200,200,276,5.52,565,11.3
201,201,278,5.56,568,11.360000000000001
202,202,276,5.52,566,11.32
203,203,280,5.6000000000000005,568,11.360000000000001
204,204,277,5.54,566,11.32
205,205,279,5.58,567,11.34
206,206,275,5.5,566,11.32
207,207,278,5.56,569,11.379999999999999
208,208,272,5.4399999999999995,565,11.3
209,209,278,5.56,570,11.4
210,210,276,5.52,566,11.32
211,211,281,5.62,570,11.4
212,212,278,5.56,568,11.360000000000001
213,213,279,5.58,570,11.4
214,214,275,5.5,568,11.360000000000001
215,215,279,5.58,571,11.42
216,216,273,5.46,567,11.34
217,217,280,5.6000000000000005,572,11.44
218,218,273,5.46,566,11.32
219,219,281,5.62,570,11.4
220,220,275,5.5,566,11.32
221,221,278,5.56,568,11.360000000000001
222,222,275,5.5,565,11.3
223,223,280,5.6000000000000005,568,11.360000000000001
224,224,276,5.52,567,11.34
225,225,279,5.58,568,11.360000000000001
226,226,275,5.5,566,11.32
227,227,279,5.58,567,11.34
228,228,276,5.52,565,11.3
229,229,280,5.6000000000000005,567,11.34
230,230,275,5.5,566,11.32
231,231,278,5.56,566,11.32
232,232,275,5.5,566,11.32
233,233,276,5.52,569,11.379999999999999
234,234,276,5.52,566,11.32
235,235,276,5.52,569,11.379999999999999
236,236,276,5.52,569,11.379999999999999
237,237,278,5.56,570,11.4
238,238,277,5.54,569,11.379999999999999
239,239,278,5.56,569,11.379999999999999
240,240,277,5.54,569,11.379999999999999
241,241,279,5.58,570,11.4
242,242,278,5.56,570,11.4
243,243,279,5.58,570,11.4
244,244,278,5.56,568,11.360000000000001
245,245,281,5.62,571,11.42
246,246,278,5.56,568,11.360000000000001
247,247,280,5.6000000000000005,568,11.360000000000001
248,248,276,5.52,567,11.34
249,249,279,5.58,571,11.42
250,250,276,5.52,569,11.379999999999999
251,251,279,5.58,572,11.44
252,252,277,5.54,571,11.42
253,253,278,5.56,571,11.42
254,254,275,5.5,571,11.42
255,255,278,5.56,572,11.44
256,256,276,5.52,572,11.44
257,257,279,5.58,573,11.459999999999999
258,258,276,5.52,572,11.44
259,259,277,5.54,575,11.5
260,260,276,5.52,570,11.4
261,261,278,5.56,575,11.5
262,262,271,5.42,571,11.42
263,263,275,5.5,575,11.5
264,264,271,5.42,571,11.42
265,265,279,5.58,572,11.44
266,266,274,5.48,567,11.34
267,267,278,5.56,573,11.459999999999999
268,268,274,5.48,568,11.360000000000001
269,269,278,5.56,571,11.42
270,270,271,5.42,570,11.4
271,271,271,5.42,572,11.44
272,272,269,5.38,570,11.4
273,273,276,5.52,573,11.459999999999999
